scope,metric,formula,base,target,mom,log_contribution,contribution_pct
전체,광고비,반복사용당 단가를 올리는 요인,1866917960.1670558,3101708362.174779,0.6614058187630438,0.5076641227418748,2.187660938047423
전체,반복사용,단가를 낮추는 분모 요인,354528.0,467030.0,0.31732895568192077,-0.2756061680960393,-1.1876609380474228
계좌개설,광고비,반복사용당 단가를 올리는 요인,931460533.5270557,1568859002.032279,0.6843000272825934,0.5213500634203825,2.1659236999322427
계좌개설,반복사용,단가를 낮추는 분모 요인,261338.0,346007.0,0.3239827350021811,-0.2806444174012304,-1.1659236999322427
회원가입,광고비,반복사용당 단가를 올리는 요인,935457426.64,1532849360.1425,0.6386094294512445,0.49384797328685726,2.1240062036354157
회원가입,반복사용,단가를 낮추는 분모 요인,93190.0,121023.0,0.29866938512715957,-0.2613401903803882,-1.1240062036354168
